RUN	test.scala.Simulation.FixedDurationLoadSimulation	fixeddurationloadsimulation	1594212395131	 	3.3.1
REQUEST	43		Get all video games	1594212431363	1594212431366	OK	 
REQUEST	43		Get all video games	1594212431366	1594212431368	OK	 
REQUEST	35		Get Specific Game	1594212431374	1594212431376	OK	 
REQUEST	26		Get all video games	1594212431374	1594212431378	OK	 
REQUEST	26		Get all video games	1594212431378	1594212431380	OK	 
REQUEST	18		Get Specific Game	1594212431394	1594212431396	OK	 
REQUEST	52		Get Specific Game	1594212431854	1594212431857	OK	 
REQUEST	44		Get all video games	1594212431854	1594212431858	OK	 
REQUEST	44		Get all video games	1594212431859	1594212431860	OK	 
REQUEST	27		Get all video games	1594212431887	1594212431889	OK	 
REQUEST	27		Get all video games	1594212431889	1594212431891	OK	 
REQUEST	19		Get Specific Game	1594212431897	1594212431899	OK	 
REQUEST	53		Get Specific Game	1594212432358	1594212432360	OK	 
REQUEST	36		Get Specific Game	1594212432368	1594212432370	OK	 
REQUEST	45		Get all video games	1594212432369	1594212432370	OK	 
REQUEST	45		Get all video games	1594212432371	1594212432373	OK	 
REQUEST	28		Get all video games	1594212432373	1594212432376	OK	 
REQUEST	28		Get all video games	1594212432376	1594212432379	OK	 
REQUEST	20		Get Specific Game	1594212432386	1594212432388	OK	 
REQUEST	4		Get all video games	1594212432503	1594212432507	OK	 
REQUEST	4		Get all video games	1594212432508	1594212432513	OK	 
REQUEST	8		Get all video games	1594212432583	1594212432585	OK	 
REQUEST	8		Get all video games	1594212432586	1594212432589	OK	 
REQUEST	9		Get all video games	1594212432604	1594212432608	OK	 
REQUEST	9		Get all video games	1594212432608	1594212432610	OK	 
REQUEST	1		Get all video games	1594212432635	1594212432637	OK	 
REQUEST	11		Get all video games	1594212432635	1594212432638	OK	 
REQUEST	1		Get all video games	1594212432638	1594212432641	OK	 
REQUEST	11		Get all video games	1594212432639	1594212432644	OK	 
REQUEST	2		Get all video games	1594212432646	1594212432650	OK	 
REQUEST	2		Get all video games	1594212432650	1594212432653	OK	 
REQUEST	5		Get all video games	1594212432652	1594212432655	OK	 
REQUEST	5		Get all video games	1594212432655	1594212432657	OK	 
REQUEST	7		Get all video games	1594212432656	1594212432658	OK	 
REQUEST	10		Get all video games	1594212432655	1594212432659	OK	 
REQUEST	7		Get all video games	1594212432658	1594212432660	OK	 
REQUEST	10		Get all video games	1594212432660	1594212432661	OK	 
REQUEST	3		Get all video games	1594212432662	1594212432663	OK	 
REQUEST	6		Get all video games	1594212432663	1594212432665	OK	 
REQUEST	3		Get all video games	1594212432663	1594212432665	OK	 
REQUEST	6		Get all video games	1594212432665	1594212432667	OK	 
REQUEST	54		Get Specific Game	1594212432845	1594212432848	OK	 
REQUEST	29		Get all video games	1594212432876	1594212432879	OK	 
REQUEST	37		Get Specific Game	1594212432876	1594212432880	OK	 
REQUEST	29		Get all video games	1594212432879	1594212432881	OK	 
REQUEST	12		Get all video games	1594212432896	1594212432897	OK	 
REQUEST	12		Get all video games	1594212432898	1594212432899	OK	 
REQUEST	55		Get Specific Game	1594212433346	1594212433348	OK	 
REQUEST	46		Get all video games	1594212433356	1594212433358	OK	 
REQUEST	46		Get all video games	1594212433358	1594212433359	OK	 
REQUEST	30		Get all video games	1594212433366	1594212433368	OK	 
REQUEST	30		Get all video games	1594212433368	1594212433370	OK	 
REQUEST	38		Get Specific Game	1594212433376	1594212433378	OK	 
REQUEST	21		Get Specific Game	1594212433387	1594212433389	OK	 
REQUEST	13		Get all video games	1594212433397	1594212433399	OK	 
REQUEST	13		Get all video games	1594212433399	1594212433400	OK	 
REQUEST	47		Get all video games	1594212433863	1594212433865	OK	 
REQUEST	47		Get all video games	1594212433865	1594212433866	OK	 
REQUEST	39		Get Specific Game	1594212433883	1594212433885	OK	 
REQUEST	22		Get Specific Game	1594212433893	1594212433896	OK	 
REQUEST	14		Get all video games	1594212433893	1594212433897	OK	 
REQUEST	14		Get all video games	1594212433897	1594212433898	OK	 
REQUEST	56		Get Specific Game	1594212434367	1594212434370	OK	 
REQUEST	48		Get all video games	1594212434367	1594212434371	OK	 
REQUEST	40		Get Specific Game	1594212434368	1594212434372	OK	 
REQUEST	48		Get all video games	1594212434371	1594212434374	OK	 
REQUEST	31		Get all video games	1594212434385	1594212434387	OK	 
